species,antibiotic_name,resistance_phenotype,records,samples,assemblies,samples_with_assembly
Escherichia coli,amikacin,resistant,7,7,7,7
Escherichia coli,amikacin,susceptible,10,6,6,6
Escherichia coli,ampicillin,resistant,497,497,497,497
Escherichia coli,ampicillin,susceptible,678,677,677,677
Escherichia coli,azithromycin,resistant,146,90,90,90
Escherichia coli,azithromycin,susceptible,77,56,56,56
Escherichia coli,aztreonam,resistant,24,23,23,23
Escherichia coli,aztreonam,susceptible,2,2,2,2
Escherichia coli,cefiderocol,resistant,4,4,4,4
Escherichia coli,chloramphenicol,resistant,1099,573,573,573
Escherichia coli,chloramphenicol,susceptible,105,95,95,95
Escherichia coli,clindamycin,resistant,2,1,1,1
Escherichia coli,colistin,resistant,102,52,52,52
Escherichia coli,colistin,susceptible,22,11,11,11
Escherichia coli,erythromycin,resistant,115,38,38,38
Escherichia coli,fosfomycin,resistant,7,4,4,4
Escherichia coli,fosfomycin,susceptible,109,69,69,69
Escherichia coli,gentamicin,resistant,2486,1302,1302,1302
Escherichia coli,gentamicin,susceptible,80,48,48,48
Escherichia coli,kanamycin,resistant,329,158,158,158
Escherichia coli,kanamycin,susceptible,11,6,6,6
Escherichia coli,nitrofurantoin,resistant,5,5,5,5
Escherichia coli,nitrofurantoin,susceptible,5,5,5,5
Escherichia coli,rifampin,susceptible,2,2,2,2
Escherichia coli,streptomycin,resistant,4489,1219,1219,1219
Escherichia coli,streptomycin,susceptible,503,208,208,208
Escherichia coli,tetracycline,resistant,6310,3218,3218,3218
Escherichia coli,tetracycline,susceptible,747,701,701,701
Escherichia coli,tigecycline,susceptible,1,1,1,1
Escherichia coli,tobramycin,resistant,26,16,16,16
Escherichia coli,tobramycin,susceptible,11,6,6,6
Escherichia coli,trimethoprim,resistant,711,435,435,435
Escherichia coli,trimethoprim,susceptible,45,36,36,36
Klebsiella pneumoniae,amikacin,resistant,495,303,303,303
Klebsiella pneumoniae,amikacin,susceptible,267,163,163,163
Klebsiella pneumoniae,azithromycin,resistant,935,515,515,515
Klebsiella pneumoniae,azithromycin,susceptible,67,36,36,36
Klebsiella pneumoniae,cefiderocol,susceptible,1,1,1,1
Klebsiella pneumoniae,chloramphenicol,resistant,220,147,147,147
Klebsiella pneumoniae,chloramphenicol,susceptible,42,36,36,36
Klebsiella pneumoniae,colistin,resistant,40,40,40,40
Klebsiella pneumoniae,colistin,susceptible,13,13,13,13
Klebsiella pneumoniae,erythromycin,resistant,69,13,13,13
Klebsiella pneumoniae,fosfomycin,resistant,75,68,68,68
Klebsiella pneumoniae,fosfomycin,susceptible,231,205,205,205
Klebsiella pneumoniae,gentamicin,resistant,2738,1504,1504,1504
Klebsiella pneumoniae,gentamicin,susceptible,124,90,90,90
Klebsiella pneumoniae,kanamycin,resistant,7,5,5,5
Klebsiella pneumoniae,streptomycin,resistant,62,15,15,15
Klebsiella pneumoniae,streptomycin,susceptible,5,2,2,2
Klebsiella pneumoniae,tetracycline,resistant,1465,740,740,740
Klebsiella pneumoniae,tetracycline,susceptible,27,14,14,14
Klebsiella pneumoniae,tigecycline,resistant,8,8,8,8
Klebsiella pneumoniae,tigecycline,susceptible,29,28,28,28
Klebsiella pneumoniae,tobramycin,resistant,944,528,528,528
Klebsiella pneumoniae,tobramycin,susceptible,16,10,10,10
Klebsiella pneumoniae,trimethoprim,resistant,58,52,52,52
Klebsiella pneumoniae,trimethoprim,susceptible,5,5,5,5
Staphylococcus aureus,chloramphenicol,resistant,6,6,6,6
Staphylococcus aureus,chloramphenicol,susceptible,48,48,48,48
Staphylococcus aureus,clindamycin,resistant,454,292,292,292
Staphylococcus aureus,clindamycin,susceptible,358,303,303,303
Staphylococcus aureus,daptomycin,resistant,6,4,4,4
Staphylococcus aureus,daptomycin,susceptible,4,4,4,4
Staphylococcus aureus,erythromycin,resistant,735,415,415,415
Staphylococcus aureus,erythromycin,susceptible,512,247,247,247
Staphylococcus aureus,fosfomycin,resistant,2,1,1,1
Staphylococcus aureus,fosfomycin,susceptible,404,175,175,175
Staphylococcus aureus,fusidic acid,resistant,31,23,23,23
Staphylococcus aureus,fusidic acid,susceptible,4,2,2,2
Staphylococcus aureus,gentamicin,resistant,117,110,110,110
Staphylococcus aureus,gentamicin,susceptible,73,69,69,69
Staphylococcus aureus,linezolid,susceptible,2,2,2,2
Staphylococcus aureus,methicillin,resistant,3734,1470,1470,1470
Staphylococcus aureus,methicillin,susceptible,78,40,40,40
Staphylococcus aureus,mupirocin,resistant,31,21,21,21
Staphylococcus aureus,mupirocin,susceptible,4,3,3,3
Staphylococcus aureus,rifampin,resistant,7,7,7,7
Staphylococcus aureus,rifampin,susceptible,28,28,28,28
Staphylococcus aureus,tetracycline,resistant,74,26,26,26
Staphylococcus aureus,tetracycline,susceptible,1263,898,898,898
Staphylococcus aureus,tigecycline,resistant,4,4,4,4
Staphylococcus aureus,tigecycline,susceptible,260,260,260,260
Staphylococcus aureus,tobramycin,resistant,1,1,1,1
Staphylococcus aureus,trimethoprim,resistant,2,1,1,1
Staphylococcus aureus,trimethoprim,susceptible,1,1,1,1
