column_name,column_type,null,key,default,extra
BioSample_ID,VARCHAR,YES,,,
assembly_ID,VARCHAR,YES,,,
antibiotic_ontology,VARCHAR,YES,,,
SRA_accession,VARCHAR,YES,,,
collection_year,INTEGER,YES,,,
ISO_country_code,VARCHAR,YES,,,
host,VARCHAR,YES,,,
host_age,VARCHAR,YES,,,
host_sex,VARCHAR,YES,,,
isolation_source,VARCHAR,YES,,,
isolation_source_category,VARCHAR,YES,,,
isolation_latitude,VARCHAR,YES,,,
isolation_longitude,VARCHAR,YES,,,
AMR_associated_publications,VARCHAR,YES,,,
used_ECOFF,VARCHAR,YES,,,
database,VARCHAR,YES,,,
antibiotic_name,VARCHAR,YES,,,
ast_standard,VARCHAR,YES,,,
laboratory_typing_method,VARCHAR,YES,,,
measurement,VARCHAR,YES,,,
measurement_sign,VARCHAR,YES,,,
measurement_units,VARCHAR,YES,,,
platform,VARCHAR,YES,,,
resistance_phenotype,VARCHAR,YES,,,
antibiotic_ontology_link,VARCHAR,YES,,,
country,VARCHAR,YES,,,
geographical_region,VARCHAR,YES,,,
geographical_subregion,VARCHAR,YES,,,
genus,VARCHAR,YES,,,
species,VARCHAR,YES,,,
organism,VARCHAR,YES,,,
isolate,VARCHAR,YES,,,
taxon_id,BIGINT,YES,,,
region,VARCHAR,YES,,,
region_start,BIGINT,YES,,,
region_end,BIGINT,YES,,,
strand,VARCHAR,YES,,,
id,VARCHAR,YES,,,
gene_symbol,VARCHAR,YES,,,
amr_element_symbol,VARCHAR,YES,,,
element_type,VARCHAR,YES,,,
element_subtype,VARCHAR,YES,,,
class,VARCHAR,YES,,,
subclass,VARCHAR,YES,,,
split_subclass,VARCHAR,YES,,,
amrfinderplus_method,VARCHAR,YES,,,
reference_accession,VARCHAR,YES,,,
reference_name,VARCHAR,YES,,,
reference_sequence_coverage,"DECIMAL(5,2)",YES,,,
reference_sequence_identity,"DECIMAL(5,2)",YES,,,
HMM_evidence_accession,VARCHAR,YES,,,
HMM_evidence_link,VARCHAR,YES,,,
HMM_evidence_description,VARCHAR,YES,,,
annotation_tool_version,VARCHAR,YES,,,
annotation_tool_mode,VARCHAR,YES,,,
