resistance_phenotype,amr_element_symbol,gene_symbol,element_type,element_subtype,class,subclass,samples
susceptible,marR_S3N,marR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,674
resistant,marR_S3N,marR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,453
resistant,tet(B),tetA,AMR,AMR,TETRACYCLINE,TETRACYCLINE,61
resistant,tet(A),tetA,AMR,AMR,TETRACYCLINE,TETRACYCLINE,30
resistant,soxS_A12S,soxS,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,28
susceptible,tet(B),tetA,AMR,AMR,TETRACYCLINE,TETRACYCLINE,24
resistant,tet(A),tetA_1,AMR,AMR,TETRACYCLINE,TETRACYCLINE,24
resistant,tet(A),tetA_2,AMR,AMR,TETRACYCLINE,TETRACYCLINE,23
resistant,tet(B),tetA_1,AMR,AMR,TETRACYCLINE,TETRACYCLINE,16
resistant,tet(B),tetA_2,AMR,AMR,TETRACYCLINE,TETRACYCLINE,16
resistant,aac(3)-IId,yokD_2,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,14
resistant,aac(3)-IId,yokD,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,14
resistant,aac(3)-IId,yokD_1,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,13
resistant,aph(6)-Id,,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,10
resistant,soxR_G121D,soxR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,9
resistant,catA1,cat_2,AMR,AMR,PHENICOL,CHLORAMPHENICOL,9
susceptible,aph(6)-Id,,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,8
resistant,catB3,cat_1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,7
resistant,uhpT_E350Q,uhpT,AMR,POINT,FOSFOMYCIN,FOSFOMYCIN,7
susceptible,aph(3'')-Ib,neo_1,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,7
susceptible,aph(3'')-Ib,neo_2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,7
resistant,dfrA1,dhfrI,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,6
susceptible,tet(A),tetA_1,AMR,AMR,TETRACYCLINE,TETRACYCLINE,6
susceptible,tet(A),tetA_2,AMR,AMR,TETRACYCLINE,TETRACYCLINE,6
resistant,aac(3)-IIe,yokD,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,6
resistant,aac(3)-IIe,yokD_1,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,5
susceptible,tet(B),tetA_2,AMR,AMR,TETRACYCLINE,TETRACYCLINE,5
susceptible,tet(B),tetA_1,AMR,AMR,TETRACYCLINE,TETRACYCLINE,5
resistant,catA1,cat_4,AMR,AMR,PHENICOL,CHLORAMPHENICOL,4
resistant,aph(3'')-Ib,neo_1,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,4
resistant,catB3,cat_3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,4
resistant,aph(3'')-Ib,neo,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,4
