feature,total_samples,resistant_samples,susceptible_samples,prevalence_percent,resistant_rate_percent
marR_S3N,1127,453,674,96.0,40.2
tet(B),106,77,29,9.03,72.64
tet(A),63,54,9,5.37,85.71
soxS_A12S,31,28,3,2.64,90.32
aac(3)-IId,29,28,1,2.47,96.55
aph(6)-Id,18,10,8,1.53,55.56
aph(3'')-Ib,18,10,8,1.53,55.56
dfrA1,12,10,2,1.02,83.33
catA1,11,11,0,0.94,100.0
aac(3)-IIe,11,11,0,0.94,100.0
uhpT_E350Q,10,7,3,0.85,70.0
soxR_G121D,9,9,0,0.77,100.0
catB3,8,8,0,0.68,100.0
acrR_R45C,5,5,0,0.43,100.0
dfrA5,4,1,3,0.34,25.0
dfrA14,4,3,1,0.34,75.0
mph(A),4,4,0,0.34,100.0
aac(3)-IVa,3,1,2,0.26,33.33
mcr-1.1,3,3,0,0.26,100.0
dfrA17,3,3,0,0.26,100.0
floR,3,3,0,0.26,100.0
ant(2'')-Ia,2,1,1,0.17,50.0
dfrA4,2,2,0,0.17,100.0
dfrA8,2,2,0,0.17,100.0
aadA5,2,2,0,0.17,100.0
cmlA1,2,2,0,0.17,100.0
marR_R77C,1,1,0,0.09,100.0
dfrA12,1,1,0,0.09,100.0
aac(3)-IIg,1,1,0,0.09,100.0
fosA3,1,1,0,0.09,100.0
mcr-1.2,1,1,0,0.09,100.0
aac(6')-IIc,1,1,0,0.09,100.0
aadA1,1,1,0,0.09,100.0
tet(C),1,0,1,0.09,0.0
ftsI_I336IPYRI,1,1,0,0.09,100.0
dfrA27,1,1,0,0.09,100.0
soxR_R20H,1,1,0,0.09,100.0
aac(3)-VIa,1,1,0,0.09,100.0
tet(D),1,1,0,0.09,100.0
