amr_element_symbol,representative_gene,element_type,element_subtype,feature_class,feature_subclass,samples_with_feature,resistant_samples,susceptible_samples
marR_S3N,marR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,1127,453,674
tet(B),tetA_2,AMR,AMR,TETRACYCLINE,TETRACYCLINE,106,77,29
tet(A),tetA_3,AMR,AMR,TETRACYCLINE,TETRACYCLINE,63,54,9
soxS_A12S,soxS,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,31,28,3
aac(3)-IId,yokD_4,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,29,28,1
aph(6)-Id,,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,18,10,8
aph(3'')-Ib,neo_4,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,18,10,8
dfrA1,dhfrI_2,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,12,10,2
aac(3)-IIe,yokD_2,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,11,11,0
catA1,cat_4,AMR,AMR,PHENICOL,CHLORAMPHENICOL,11,11,0
uhpT_E350Q,uhpT,AMR,POINT,FOSFOMYCIN,FOSFOMYCIN,10,7,3
soxR_G121D,soxR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,9,9,0
catB3,cat_4,AMR,AMR,PHENICOL,CHLORAMPHENICOL,8,8,0
acrR_R45C,acrR_2,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,5,5,0
dfrA14,dhfrI_2,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,4,3,1
dfrA5,dhfrI_2,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,4,1,3
mph(A),,AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,4,4,0
dfrA17,dhfrI_2,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,3,3,0
floR,bcr_3,AMR,AMR,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,3,3,0
mcr-1.1,mcr-1.1_2,AMR,AMR,COLISTIN,COLISTIN,3,3,0
aac(3)-IVa,yokD_3,AMR,AMR,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN,3,1,2
ant(2'')-Ia,aadB_4,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,2,1,1
dfrA4,,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,2,2,0
dfrA8,folA_3,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,2,2,0
aadA5,ant1_2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,2,2,0
cmlA1,cmlA1_3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,2,2,0
tet(C),tetA,AMR,AMR,TETRACYCLINE,TETRACYCLINE,1,0,1
aadA1,ant1,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,1,1,0
ftsI_I336IPYRI,ftsI,AMR,POINT,BETA-LACTAM,AZTREONAM,1,1,0
dfrA27,,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1,1,0
aac(3)-VIa,yokD_5,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1,1,0
soxR_R20H,soxR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,1,1,0
aac(6')-IIc,aacA4_3,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,1,1,0
aac(3)-IIg,yokD_2,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,1,1,0
marR_R77C,marR,AMR,POINT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/QUINOLONE/RIFAMPIN/TETRACYCLINE,1,1,0
tet(D),tetA,AMR,AMR,TETRACYCLINE,TETRACYCLINE,1,1,0
mcr-1.2,mcr-1.2_2,AMR,AMR,COLISTIN,COLISTIN,1,1,0
fosA3,fosA,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,1,1,0
dfrA12,,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,1,1,0
